Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]Loading weights:  50%|█████     | 52/103 [00:00<00:00, 493.18it/s]Loading weights: 100%|██████████| 103/103 [00:00<00:00, 581.17it/s]
[1mBertModel LOAD REPORT[0m from: sentence-transformers/all-MiniLM-L6-v2
Key                     | Status     |  | 
------------------------+------------+--+-
embeddings.position_ids | UNEXPECTED |  | 

[3mNotes:
- UNEXPECTED[3m	:can be ignored when loading from different task/architecture; not ok if you expect identical arch.[0m
/root/ACPs-app/venv/lib/python3.10/site-packages/networkx/readwrite/json_graph/node_link.py:287: FutureWarning: 
The default value will be changed to `edges="edges" in NetworkX 3.6.

To make this warning go away, explicitly set the edges kwarg, e.g.:

  nx.node_link_graph(data, edges="links") to preserve current behavior, or
  nx.node_link_graph(data, edges="edges") for forward compatibility.
  warnings.warn(
event=kg_graph_load_failed error='links' path=/root/DataSet/processed/knowledge_graph.json
2026-03-15 16:19:52+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-adcab73e-622d-45d0-8abb-cbeaac5ff153 state=completed recommendation_count=5
2026-03-15 16:21:01+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-bb8e602d-1a81-448c-ade4-6408d4c099c0 state=completed recommendation_count=5
2026-03-15 16:22:09+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-df83b583-1baf-4756-b04a-95f924258906 state=completed recommendation_count=5
2026-03-15 16:23:18+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-38c5f258-1e4b-4009-b50c-38354953bc32 state=completed recommendation_count=5
2026-03-15 16:24:22+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-adb7e809-4d2c-4e16-acd4-925c469b6847 state=completed recommendation_count=5
2026-03-15 16:25:26+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-926e3461-769b-437a-910b-3e9673ed3ccf state=completed recommendation_count=5
2026-03-15 16:26:36+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-106ae8dc-f2ce-45cf-a029-d81624550a0b state=completed recommendation_count=5
2026-03-15 16:27:39+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-59341173-4cc1-42c6-9e20-9f77e369add0 state=completed recommendation_count=5
2026-03-15 16:28:53+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-48023f33-eb07-4dd9-8221-8fe6756b2a8d state=completed recommendation_count=5
2026-03-15 16:29:57+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-9ff3868f-4167-4a71-991b-518b38c62adf state=completed recommendation_count=5
2026-03-15 16:31:14+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-95464d89-686a-41d6-a589-1e076d3d011e state=completed recommendation_count=5
2026-03-15 16:32:25+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-040f38a1-07cb-4951-a030-2110168ec260 state=completed recommendation_count=5
2026-03-15 16:33:49+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-dbc3f7d2-0ae7-48b1-ad24-5cef43ea6fb6 state=completed recommendation_count=5
2026-03-15 16:35:00+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-3cd50451-b588-4a02-8557-e2c83a85c1d1 state=completed recommendation_count=5
2026-03-15 16:36:07+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-0abb830a-9d06-42ed-8eb1-d50ff4f92040 state=completed recommendation_count=5
2026-03-15 16:37:17+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-8f3c17cd-1020-4345-ac10-e6d642c5e42d state=completed recommendation_count=5
2026-03-15 16:38:21+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-604230ec-6c31-422d-a3bf-7e7e6b8c10e9 state=completed recommendation_count=5
2026-03-15 16:39:25+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-5d2c5adf-af2f-4680-abf4-1aefdb157e43 state=completed recommendation_count=5
